Bike number,Bike serviceable,Station number,Station name,Station capacity
W00001,t,31301,Ward Circle / American University,5
W00005,t,32011,Maple & Ritchie Ave,28
W00007,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W00009,t,31912,Mount Vernon Ave & Bruce St,10
W00010,t,31249,Jefferson Memorial,31
W00011,f,,,
W00012,t,31902,Wilson Blvd & N Illinois St ,17
W00013,t,31914,Lee Center,16
W00014,t,31902,Wilson Blvd & N Illinois St ,17
W00015,t,31043,Saint Asaph St & Pendleton  St,17
W00016,t,31105,14th & Harvard St NW,12
W00017,t,32045,Shady Grove Metro West,16
W00019,t,31114,18th St & Wyoming Ave NW,17
W00020,t,31266,11th & M St NW,14
W00021,t,31231,14th & D St NW / Ronald Reagan Building,11
W00024,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W00025,t,31606,Potomac & Pennsylvania Ave SE,15
W00026,t,31070,Arlington Blvd & Fillmore St,18
W00027,t,31282,16th & R St NW,20
W00028,t,31034,N Randolph St & Fairfax Dr,13
W00029,t,31619,Lincoln Park / 13th & East Capitol St NE ,30
W00030,t,31500,4th & W St NE,19
W00031,t,31004,Aurora Hills Community Ctr/18th & Hayes St,19
W00032,t,31400,Georgia & New Hampshire Ave NW,18
W00033,t,31640,Maryland Ave & E St NE,23
W00034,t,31235,19th St & Constitution Ave NW,14
W00035,t,31119,14th & Belmont St NW,14
W00036,t,31630,15th & East Capitol St NE,18
W00037,t,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,17
W00038,t,31107,Lamont & Mt Pleasant NW,25
W00039,t,31102,11th & Kenyon St NW,30
W00040,t,31071,Long Bridge Park/Long Bridge Dr & 6th St S,12
W00041,t,31000,Eads St & 15th St S,13
W00042,t,31047,Braddock Rd Metro,6
W00043,t,31009,27th & Crystal Dr,12
W00044,t,31400,Georgia & New Hampshire Ave NW,18
W00045,t,31627,M St & Delaware Ave NE,21
W00046,t,32006,13th St & Eastern Ave,9
W00047,t,31281,8th & O St NW,26
W00048,f,,,
W00049,t,31079,Lee Hwy & N Cleveland St,18
W00050,t,31644,12th St & Pennsylvania Ave SE,25
W00051,t,32022,Garland Ave & Walden Rd,1
W00054,t,31406,14th & Upshur St NW,7
